[Tue  7 Jun 19:57:27 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 0 --- 166637
[Tue  7 Jun 19:57:28 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 1 --- 144939
[Tue  7 Jun 19:57:28 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 2 --- 144939
[Tue  7 Jun 19:57:35 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 3 --- 166637
[Tue  7 Jun 19:57:40 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 4 --- 144477
[Tue  7 Jun 19:57:40 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 5 --- 144939
[Tue  7 Jun 19:57:45 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 6 --- 144995
[Tue  7 Jun 19:57:51 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 7 --- 166637
[Tue  7 Jun 19:57:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 8 --- 166637
[Tue  7 Jun 19:57:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 9 --- 144939
[Tue  7 Jun 19:57:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 10 --- 144939
[Tue  7 Jun 19:57:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 11 --- 144939
[Tue  7 Jun 19:57:57 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 12 --- 144939
[Tue  7 Jun 19:57:58 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 13 --- 144939
[Tue  7 Jun 19:57:58 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 14 --- 144939
[Tue  7 Jun 19:57:59 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 15 --- 144939
[Tue  7 Jun 19:58:05 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 16 --- 166637
[Tue  7 Jun 19:58:06 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 17 --- 144939
[Tue  7 Jun 19:58:09 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 18 --- 144939
[Tue  7 Jun 19:58:09 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 19 --- 144939
[Tue  7 Jun 19:58:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 20 --- 19980
[Tue  7 Jun 19:58:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 21 --- 144939
[Tue  7 Jun 19:58:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 22 --- 144939
[Tue  7 Jun 19:58:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 23 --- 144939
[Tue  7 Jun 19:58:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 24 --- 144477
[Tue  7 Jun 19:58:48 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 25 --- 144939
[Tue  7 Jun 19:58:53 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 26 --- 166637
[Tue  7 Jun 19:58:53 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 27 --- 144939
[Tue  7 Jun 19:58:54 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 28 --- 144939
[Tue  7 Jun 19:59:22 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 29 --- 19980
[Tue  7 Jun 19:59:26 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 30 --- 144939
[Tue  7 Jun 19:59:26 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 31 --- 144939
[Tue  7 Jun 19:59:27 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 32 --- 144939
[Tue  7 Jun 19:59:31 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 33 --- 144939
[Tue  7 Jun 19:59:31 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 34 --- 144939
[Tue  7 Jun 19:59:32 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 35 --- 144939
[Tue  7 Jun 19:59:32 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 36 --- 144939
[Tue  7 Jun 19:59:32 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 37 --- 144477
[Tue  7 Jun 19:59:33 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 38 --- 144939
[Tue  7 Jun 19:59:37 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 39 --- 166637
[Tue  7 Jun 19:59:38 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 40 --- 144939
[Tue  7 Jun 19:59:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 41 --- 166637
[Tue  7 Jun 19:59:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 42 --- 144939
[Tue  7 Jun 19:59:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 43 --- 144939
[Tue  7 Jun 19:59:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 44 --- 144939
[Tue  7 Jun 19:59:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 45 --- 144939
[Tue  7 Jun 19:59:44 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 46 --- 144939
[Tue  7 Jun 19:59:47 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 47 --- 144939
[Tue  7 Jun 19:59:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 48 --- 145053
[Tue  7 Jun 19:59:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 49 --- 144939
[Tue  7 Jun 19:59:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 50 --- 144939
[Tue  7 Jun 20:00:00 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 51 --- 166637
[Tue  7 Jun 20:00:05 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 52 --- 166637
[Tue  7 Jun 20:00:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 53 --- 144939
[Tue  7 Jun 20:00:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 54 --- 144939
[Tue  7 Jun 20:00:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 55 --- 144939
[Tue  7 Jun 20:00:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 56 --- 144939
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 57 --- 166637
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 58 --- 144939
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 59 --- 144939
[Tue  7 Jun 20:00:22 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 60 --- 144939
[Tue  7 Jun 20:00:22 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 61 --- 144939
[Tue  7 Jun 20:00:27 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 62 --- 166637
[Tue  7 Jun 20:00:38 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 63 --- 144341
[Tue  7 Jun 20:00:39 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 64 --- 144939
[Tue  7 Jun 20:00:50 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 65 --- 144477
[Tue  7 Jun 20:00:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 66 --- 166637
[Tue  7 Jun 20:00:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 67 --- 144939
[Tue  7 Jun 20:00:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 68 --- 144939
[Tue  7 Jun 20:01:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 69 --- 166637
[Tue  7 Jun 20:01:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 70 --- 166637
